jobId,skill
260925924111,Git
260925924111,Java
260925924101,Git
260925924040,Python
260925924040,Azure
260925924040,Databricks
260925924030,Python
260925924030,Java
260925923758,Git
260925923444,SQL
260925923444,Docker
260925923444,Java
260925922974,Java
260925922569,Cybersecurity
260925922364,SQL
260925920948,AWS
260925920948,GCP
260925920944,Azure
260925920944,GCP
260925920940,GCP
260925920940,Git
260925920564,Python
260925920564,AWS
260925920564,JavaScript
260925920563,Java
260925920506,Docker
260925920506,Kubernetes
260925920445,Azure
260925920445,Linux
260925920435,Java
260925920412,SQL
260925920298,JavaScript
260925920284,SQL
260925920221,Python
260925920221,AWS
260925920221,JavaScript
260925920039,Azure
260925920039,Spark
260925920039,Databricks
260925920006,Kubernetes
260925920000,Java
260925919898,Python
260925919898,Azure
260925919875,Azure
260925919852,SQL
260925919852,Java
260925919852,React
260925919850,Docker
260925919850,Git
260925919850,Linux
260925919846,Java
260925919846,JavaScript
260925919846,React
260925919836,Python
260925919836,AWS
260925919836,Azure
260925919836,GCP
260925919836,Docker
260925919836,Kubernetes
260925919836,Java
260925919833,Java
260925919832,Java
260925919828,Java
260925919825,React
260925919799,Python
260925919799,JavaScript
260925919787,SQL
260925919782,SQL
260925919740,Python
260925919738,Java
260925919732,Azure
260925919727,SQL
260925919727,Java
260925919594,Python
260925919591,Python
260925919591,AWS
260925919577,Java
260925919576,AWS
260925919330,Azure
260925919246,Power BI
260925919239,Python
260925919239,Azure
260925919239,Spark
260925919233,Power BI
260925919233,Azure
260925919233,Databricks
260925919088,Python
260925919088,Linux
260925919082,Git
260925919082,Java
260925918948,Java
260925918821,Azure
260925918758,SQL
260925918738,SQL
260925918605,SQL
260925918605,Power BI
260925918605,AWS
260925918605,Azure
260925918605,GCP
260925918526,JavaScript
260925918526,React
260925918497,Python
260925918497,Java
260925916597,JavaScript
260925916597,React
260925916586,Python
260925916586,Java
260925915671,Power BI
260925915671,AWS
260925915671,Azure
260925915629,Python
260925915588,AWS
260925915588,Java
260925915184,JavaScript
260925915174,SQL
260925915174,Java
260925915141,SQL
260925915114,Python
260925915114,SQL
260925914810,Git
260925914786,SQL
260925914786,Power BI
260925914300,SQL
260925914261,SQL
260925914212,Git
260925914212,Java
260925914187,SQL
260925912825,Python
260925912825,Machine Learning
260925912825,Deep Learning
260925912825,NLP
260925912748,Git
260925912216,Azure
260925912216,GCP
260925912216,Docker
260925911872,Python
260925911872,Java
260925911218,Linux
260925911209,Python
260925908783,Python
260925908783,AWS
260925908783,Spark
260925908782,Java
260925908717,Linux
260925908639,Python
260925908639,JavaScript
260925908617,Azure
260925908611,SQL
260925908605,Java
260925908580,SQL
260925504593,Java
260925504593,React
260925504589,Azure
260925504550,SQL
260925504534,JavaScript
260925504533,JavaScript
260925504521,SQL
260925504462,Linux
260925504241,Linux
260925503816,Git
260925503683,JavaScript
260925502599,Excel
260925502442,Docker
260925502442,Kubernetes
260925502442,Java
260925502170,SQL
260925502140,SQL
260925501990,Git
260925501981,SQL
260925501974,Azure
260925501974,Docker
260925501974,Kubernetes
260925501973,SQL
260925501071,Machine Learning
260925501038,SQL
260925501038,JavaScript
260925501018,Git
260925501017,Git
260925500991,JavaScript
260925500945,Git
260925500915,JavaScript
260925500907,Linux
260925500890,Git
260925500807,Python
260925500807,Linux
260925500796,GCP
260925500745,SQL
260925500684,Linux
260925500528,Git
260925032581,Excel
260925032476,Java
260925032286,Cybersecurity
260925031745,Deep Learning
260925031398,Python
260925031398,SQL
260925031398,Azure
260925030998,SQL
260925030998,Kubernetes
260925030987,Python
260925030943,Java
260925030899,Python
260925030630,SQL
260925030630,Kubernetes
260925028298,AWS
260925027646,Java
260925026692,Java
260925026290,SQL
260925026123,SQL
260925024753,Python
260925024753,Generative AI
260925024690,JavaScript
260925024690,React
260925024066,Azure
260925024066,React
260925024021,JavaScript
260925022654,Excel
260925021020,AWS
260925020923,AWS
260925017324,SQL
260925017324,Azure
260925015499,Power BI
260925014494,Machine Learning
260925014494,Deep Learning
260925014494,Generative AI
260925014311,Azure
260925014311,React
260925013134,Java
260925012698,React
260925011134,Python
260925011134,SQL
260925011134,AWS
260925011134,GCP
260925011134,Spark
260925011134,Databricks
260925010518,SQL
260925010476,Java
260925008959,Java
260925008532,Python
260625034447,Python
260625034447,SQL
260625034447,GCP
250925011189,Excel
250825009360,Java
240925507112,Excel
240925019222,JavaScript
240925019222,React
240925014676,AWS
240925014676,GCP
240925014676,Linux
240925012524,Python
240925010666,SQL
230925039028,SQL
230925039028,AWS
230925039028,Azure
230925039028,Java
230925039028,JavaScript
230925019167,Python
230925019167,SQL
230925019167,Azure
230925019167,React
230925017815,Python
230925017815,Machine Learning
230925017815,Deep Learning
230925017815,Generative AI
230725022481,Python
230725022481,Linux
210825022847,GCP
210825022847,Machine Learning
210825022847,NLP
210825022847,Generative AI
210825011621,Cybersecurity
210225018975,Excel
190925012549,JavaScript
190825019820,React
181224918512,Git
180925038811,Python
180925038811,Generative AI
180825023830,Java
180125008451,Excel
170825003964,Linux
150925015281,AWS
150925015281,Java
140825030646,Excel
140825029952,JavaScript
140825029952,React
140725009114,Python
140725009114,SQL
140725009114,AWS
140725009114,Spark
130525025048,Linux
120925013379,Python
120925013379,NLP
120925013379,Generative AI
110725020998,Java
60925015598,Python
60925015598,SQL
60925015598,Azure
60925015598,Spark
60325017468,JavaScript
50925017984,Azure
40925024141,Python
40925024141,SQL
40925024141,AWS
40925024141,Azure
40925024141,GCP
40925024141,Databricks
40925023010,Python
40925023010,SQL
40925023010,Azure
40925023010,Databricks
40825016713,Python
40825016713,Machine Learning
40825016713,NLP
31025019999,Excel
31025019572,Python
31025019572,Spark
31025019572,Machine Learning
31025012831,JavaScript
31025012102,GCP
31025012102,Java
31025011698,AWS
31025011698,JavaScript
31025011698,React
31025009005,Excel
31025004379,Python
31025004379,Kubernetes
11025918076,Excel
11025022823,Python
11025022823,SQL
11025022823,AWS
11025022823,Azure
11025022823,GCP
11025022823,Machine Learning
11025022050,Excel
11025021831,SQL
11025021831,Excel
11025014543,Python
11025014543,Java
11025010305,SQL
300925500556,Excel
290925013869,AWS
290925013869,Docker
290925013869,Git
290925013869,React
270925008016,SQL
270925008016,Spark
270925004490,Python
260925030316,Java
260925030316,React
260925026168,Java
260925025398,Excel
260925007529,AWS
260925007209,SQL
260925007209,GCP
240425019050,Excel
300925027708,GCP
250925910011,Java
250925901149,AWS
250925901149,Docker
250925901149,Kubernetes
250925901149,Git
240925500058,Python
30925034288,Python
30925034288,SQL
30925034288,Generative AI
300925026701,Azure
250925931595,Python
250925931595,SQL
250925931595,Azure
250925922964,JavaScript
250925918139,React
250925917512,Python
250925917512,AWS
250925914686,Python
250925914686,SQL
250925914686,Azure
250925914233,Python
250925914233,AWS
250925914233,Git
250925905638,Java
250925905634,React
250925904971,SQL
250925904971,Java
250925901191,Python
250925901191,SQL
250925901191,Azure
250925901191,Databricks
250925901160,Python
250925901160,Machine Learning
250925901160,Kubernetes
250925901148,Python
250925901148,SQL
250925035573,Python
250925035573,SQL
250925035573,Power BI
250925035573,AWS
250925035573,Machine Learning
250925019341,Java
240925930671,SQL
240925929663,SQL
240925929663,Azure
240925917487,Azure
240925910051,Python
240925910051,AWS
240925909993,Azure
240925909993,Git
240925909963,Git
240925503918,Linux
240925502645,Tableau
240925502311,SQL
240925501832,Linux
240925018857,Generative AI
240925018857,Java
240925009651,Python
240925009651,Azure
230925929399,Python
230925929399,AWS
230925929399,Kubernetes
230925926190,Git
230925926190,React
230925923557,JavaScript
230925923556,SQL
230925923556,Azure
230925923556,Git
230925018000,Python
200825016261,Python
200825016261,SQL
200825016261,Power BI
190925022906,Java
60825023054,Machine Learning
50925018524,Java
50825026499,Azure
290925011207,AWS
290925011207,Java
290925002402,Machine Learning
290925002402,NLP
290925002402,Generative AI
250925920834,JavaScript
250925027329,Excel
250925018863,Java
250925018863,React
